tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
473/1 Yerde Bulunan Pazar Alanı,İSTANBUL,HÜNKAR İSKELESİ,BEYKOZ,YALIKÖY,29.080706958975227,41.13704281117499,151346573,"[<POLYGON ((29.085 41.143, 29.085 41.143, 29.084 41.143, 29.084 41.144, 29.08...>, <POLYGON ((28.265 41.424, 28.266 41.423, 28.266 41.423, 28.267 41.423, 28.27...>]"
Beykoz Çayırı Ek 1,İSTANBUL,DOĞUKAPISI,BEYKOZ,ORTAÇEŞME,29.080706958975227,41.13704281117499,151346502,"[<POLYGON ((29.085 41.143, 29.085 41.143, 29.084 41.143, 29.084 41.144, 29.08...>, <POLYGON ((28.265 41.424, 28.266 41.423, 28.266 41.423, 28.267 41.423, 28.27...>]"
Çamlıbahçe Parkı ve Civarı,İSTANBUL,DOĞUKAPISI,BEYKOZ,ÇAMLIBAHÇE,29.080706958975227,41.13704281117499,151346503,"[<POLYGON ((29.085 41.143, 29.085 41.143, 29.084 41.143, 29.084 41.144, 29.08...>, <POLYGON ((28.265 41.424, 28.266 41.423, 28.266 41.423, 28.267 41.423, 28.27...>]"
Şahinkaya İlkokulu Bahçesi,İSTANBUL,SEYREK SELVİLER,BEYKOZ,MERKEZ,29.08905650560767,41.137941122349986,151346488,"[<POLYGON ((29.085 41.143, 29.085 41.143, 29.084 41.143, 29.084 41.144, 29.08...>, <POLYGON ((28.265 41.424, 28.266 41.423, 28.266 41.423, 28.267 41.423, 28.27...>]"
Şehit Ömer Halisdemir Meslek Teknik Anadolu Lisesi Bahçesi,İSTANBUL,BAHARATÇI,BEYKOZ,MERKEZ,29.091442886196578,41.140636055874964,151346489,"[<POLYGON ((29.085 41.143, 29.085 41.143, 29.084 41.143, 29.084 41.144, 29.08...>, <POLYGON ((28.265 41.424, 28.266 41.423, 28.266 41.423, 28.267 41.423, 28.27...>]"
Şehit Polis Kamil Genç Parkı,İSTANBUL,BAHARATÇI,BEYKOZ,MERKEZ,29.091442886196578,41.140636055874964,151346484,"[<POLYGON ((29.085 41.143, 29.085 41.143, 29.084 41.143, 29.084 41.144, 29.08...>, <POLYGON ((28.265 41.424, 28.266 41.423, 28.266 41.423, 28.267 41.423, 28.27...>]"
Şehit Er Murat Güler Parkı,İSTANBUL,DOĞUKAPISI,BEYKOZ,ÇAMLIBAHÇE,29.073550578111366,41.14153436704996,151346494,"[<POLYGON ((29.085 41.143, 29.085 41.143, 29.084 41.143, 29.084 41.144, 29.08...>, <POLYGON ((28.265 41.424, 28.266 41.423, 28.266 41.423, 28.267 41.423, 28.27...>]"
Palamar Çeşmesi Parkı,İSTANBUL,LALE,BEYKOZ,ORTAÇEŞME,29.092636591218813,41.14333098939994,151346508,"[<POLYGON ((29.085 41.143, 29.085 41.143, 29.084 41.143, 29.084 41.144, 29.08...>, <POLYGON ((28.265 41.424, 28.266 41.423, 28.266 41.423, 28.267 41.423, 28.27...>]"
Çamlıbahçe Ayazma Dik Yokuş Sokak No 19 Karşısı Boş Alan,İSTANBUL,DOĞUKAPISI,BEYKOZ,ÇAMLIBAHÇE,29.07355074151596,41.14602592292492,151346641,"[<POLYGON ((29.085 41.143, 29.085 41.143, 29.084 41.143, 29.084 41.144, 29.08...>, <POLYGON ((28.265 41.424, 28.266 41.423, 28.266 41.423, 28.267 41.423, 28.27...>]"
Karamandere Meydanı,İSTANBUL,KARACA AHMETPAŞA,ÇATALCA,KARAMANDERE,28.270663397438696,41.42152011117499,151347065,"[<POLYGON ((29.085 41.143, 29.085 41.143, 29.084 41.143, 29.084 41.144, 29.08...>, <POLYGON ((28.265 41.424, 28.266 41.423, 28.266 41.423, 28.267 41.423, 28.27...>]"
